,total_population,total_population_one_race,white_alone,black_alone,american_indian_alone,asian_alone,native_hawaiian_alone,other_race_alone,two_more_races,total_race,hispanic_population,not_hispanic_population,total_population_one_race_percent,white_alone_percent,black_alone_percent,american_indian_alone_percent,asian_alone_percent,native_hawaiian_alone_percent,other_race_alone_percent,two_more_races_percent,hispanic_population_percent,non_hispanic_population_percent
Massachusetts,7029917,6421050,4896037,494029,24018,507934,2301,496731,608867,7680780,887685,6142232,91.3,69.6,7,0.3,7.2,0,7.1,8.7,12.6,87.4
Census Tract 3421.01,5028,4255,2081,724,37,341,0,1072,773,5830,1477,3551,84.6,41.4,14.4,0.7,6.8,0,21.3,15.4,29.4,70.6
Census Tract 3424.01,4604,3834,1583,624,41,354,3,1229,770,5390,1291,3313,83.3,34.4,13.6,0.9,7.7,0.1,26.7,16.7,28,72
Census Tract 3425.01,4740,3704,1602,644,10,287,4,1157,1036,5816,1483,3257,78.1,33.8,13.6,0.2,6.1,0.1,24.4,21.9,31.3,68.7
Census Tract 507,4520,3635,1565,127,53,126,5,1759,885,5433,2699,1821,80.4,34.6,2.8,1.2,2.8,0.1,38.9,19.6,59.7,40.3
Census Tract 1601.02,3823,3180,654,365,46,91,0,2024,643,4487,2804,1019,83.2,17.1,9.5,1.2,2.4,0,52.9,16.8,73.3,26.7
Census Tract 1601.03,4646,3772,1051,282,68,108,0,2263,874,5564,3476,1170,81.2,22.6,6.1,1.5,2.3,0,48.7,18.8,74.8,25.2
Census Tract 1602,4154,3605,708,182,71,47,2,2595,549,4716,3475,679,86.8,17,4.4,1.7,1.1,0,62.5,13.2,83.7,16.3
Census Tract 1603,2753,2503,1657,241,22,139,0,444,250,3015,731,2022,90.9,60.2,8.8,0.8,5,0,16.1,9.1,26.6,73.4
Census Tract 1604,3878,3334,1017,295,46,186,0,1790,544,4438,2457,1421,86,26.2,7.6,1.2,4.8,0,46.2,14,63.4,36.6
Census Tract 1605.01,6105,4959,1243,330,91,117,4,3174,1146,7304,4794,1311,81.2,20.4,5.4,1.5,1.9,0.1,52,18.8,78.5,21.5
Census Tract 1605.02,5604,4656,1510,366,109,215,5,2451,948,6644,3780,1824,83.1,26.9,6.5,1.9,3.8,0.1,43.7,16.9,67.5,32.5
Census Tract 1606.01,4331,3642,1563,353,62,185,2,1477,689,5094,2375,1956,84.1,36.1,8.2,1.4,4.3,0,34.1,15.9,54.8,45.2
Census Tract 1606.02,5493,4648,1780,582,61,251,3,1971,845,6376,2934,2559,84.6,32.4,10.6,1.1,4.6,0.1,35.9,15.4,53.4,46.6
Census Tract 1703.01,7045,6068,4292,259,40,389,6,1082,977,8043,1933,5112,86.1,60.9,3.7,0.6,5.5,0.1,15.4,13.9,27.4,72.6
