geo_id,start_date,end_date,census_tract,median_household_income
1400000US25025160101,1/1/2013,1/1/2018,1601.01,60234
1400000US25025160200,1/1/2013,1/1/2018,1602,52633
1400000US25025160300,1/1/2013,1/1/2018,1603,58616
1400000US25025160400,1/1/2013,1/1/2018,1604,50076
1400000US25025160501,1/1/2013,1/1/2018,1605.01,43764
1400000US25025160502,1/1/2013,1/1/2018,1605.02,45224
1400000US25025160601,1/1/2013,1/1/2018,1606.01,58460
1400000US25025160602,1/1/2013,1/1/2018,1606.02,57857
1400000US25025160102,1/1/2018,1/1/2023,1601.02,64605
1400000US25025160103,1/1/2018,1/1/2023,1601.03,76685
1400000US25025160200,1/1/2018,1/1/2023,1602,70672
1400000US25025160300,1/1/2018,1/1/2023,1603,55433
1400000US25025160400,1/1/2018,1/1/2023,1604,77695
1400000US25025160501,1/1/2018,1/1/2023,1605.01,74964
1400000US25025160502,1/1/2018,1/1/2023,1605.02,59318
1400000US25025160601,1/1/2018,1/1/2023,1606.01,80509
1400000US25025160602,1/1/2018,1/1/2023,1606.02,71667
